image_id,identity,path,date,orientation,time-aware,time-proportional,random
3156,t001,images/t001/uUVqsYByEj.JPG,2014-07-14,right,train,test,train
3157,t001,images/t001/ELAvEqeXxT.JPG,2014-07-14,left,train,test,train
3158,t001,images/t001/CAluWEgwPX.JPG,2014-07-14,left,train,test,train
3159,t001,images/t001/txgBopXzbZ.jpg,2014-07-14,right,train,test,train
3160,t001,images/t001/zgOfklUqJC.JPG,2014-07-14,topright,train,test,test
3161,t001,images/t001/xldQLnWiRI.JPG,2014-07-14,left,train,test,train
3162,t001,images/t001/EKyrFKHQzh.JPG,2014-07-14,right,train,test,train
3163,t001,images/t001/LKCJAhfLBJ.JPG,2014-07-14,right,train,test,train
3164,t001,images/t001/OiaMESWPyh.JPG,2014-07-14,topright,train,test,train
3165,t001,images/t001/LZystXlIqe.JPG,2014-07-14,topright,train,test,train
3166,t001,images/t001/iiWUAXGTRk.JPG,2014-07-14,right,train,test,train
3167,t001,images/t001/oYBbBMeIrc.JPG,2014-07-14,left,train,test,train
3168,t001,images/t001/rArWeMiEhi.JPG,2010-07-02,topright,train,train,train
3169,t001,images/t001/ZkWKNtWbVK.JPG,2010-07-02,topleft,train,train,train
3170,t001,images/t001/ZKnMahXQgJ.JPG,2010-07-02,top,train,train,val
3171,t001,images/t001/dLFculJDGP.JPG,2010-07-02,top,train,train,train
3172,t001,images/t001/VMyJozldvy.jpg,2010-07-02,topright,train,train,train
3173,t001,images/t001/IxRLFwTGCv.JPG,2010-07-02,topright,train,train,train
3174,t001,images/t001/kTIpheVAuj.JPG,2010-07-02,topleft,train,train,train
3175,t001,images/t001/XhbkFIOvZr.JPG,2010-07-02,topright,train,train,train
3176,t001,images/t001/anuJvqUqBB.JPG,2010-07-02,topright,train,train,test
3177,t001,images/t001/tIpzeVcJbR.JPG,2010-07-02,topright,train,train,train
3055,t002,images/t002/AWKZYHmepZ.JPG,2010-07-05,top,train,train,train
3056,t002,images/t002/PnzurZBZbL.JPG,2010-07-05,topright,train,train,train
3057,t002,images/t002/dyrWnymJcS.jpg,2010-07-05,topright,train,train,train
3058,t002,images/t002/ufuwGirQLa.JPG,2010-07-05,right,train,train,train
3059,t002,images/t002/dFtPHvFXhQ.JPG,2010-07-05,left,train,train,train
3060,t002,images/t002/pIHJimnzHb.JPG,2010-07-05,left,train,train,val
3061,t002,images/t002/lhCREWlJLu.JPG,2010-07-05,left,train,train,train
3062,t002,images/t002/UIuKdSOZUI.JPG,2010-07-05,right,train,train,train
3063,t002,images/t002/mfzYdIbukk.jpg,2010-07-05,right,train,train,train
3064,t002,images/t002/AyPUCFEHdl.JPG,2010-07-05,left,train,train,train
3065,t002,images/t002/SuPxFCvAob.jpg,2010-07-05,left,train,train,train
3066,t002,images/t002/EjSeeiwrpz.JPG,2010-07-05,left,train,train,train
3067,t002,images/t002/nbXkFSMdaZ.JPG,2010-07-05,left,train,train,test
3068,t002,images/t002/sSnmlGIDhj.JPG,2010-07-05,topleft,train,train,val
3069,t002,images/t002/hPCHQNBqcs.JPG,2010-07-05,right,train,train,train
3070,t002,images/t002/waDhOeKzuw.jpg,2010-07-05,right,train,train,train
3071,t002,images/t002/DrqbIVqYxx.JPG,2010-07-05,right,train,train,val
1678,t003,images/t003/IbJfsmXgdi.jpg,2010-08-07,topright,train,test,train
1679,t003,images/t003/PwTyQxtigI.JPG,2010-07-07,topright,train,train,train
1681,t003,images/t003/ZToiMYHZgd.jpg,2010-07-31,right,train,train,train
1682,t003,images/t003/zlkamyNHCP.jpg,2010-08-23,topleft,train,test,test
1683,t003,images/t003/SHZVAvsIpG.JPG,2010-07-07,topleft,train,train,val
1684,t003,images/t003/RvpUYKwcYw.jpg,2010-07-28,topleft,train,train,train
1685,t003,images/t003/WdawXRghVK.jpg,2010-08-01,topright,train,train,train
1686,t003,images/t003/ETwjGRaQuO.JPG,2010-07-07,topleft,train,train,train
1687,t003,images/t003/IsRboHQOvH.jpg,2010-07-28,topright,train,train,train
1688,t003,images/t003/YZQHThUwDf.jpg,2010-07-31,topright,train,train,test
1689,t003,images/t003/bAsFeiqsYc.jpg,2010-08-02,right,train,val,train
1690,t003,images/t003/TDVKNFzKkC.jpg,2010-08-01,right,train,train,train
1691,t003,images/t003/gkXVeMpaGy.JPG,2010-07-07,right,train,train,val
1692,t003,images/t003/fTHsesuTHC.JPG,2010-07-07,topleft,train,train,train
1693,t003,images/t003/qxoAjUErxq.JPG,2010-07-07,topleft,train,train,train
1694,t003,images/t003/aDgJZmrrTT.jpg,2010-07-31,topright,train,train,train
1695,t003,images/t003/UEQGSXvhff.jpg,2010-07-28,top,train,train,train
1696,t003,images/t003/tMOUElhljO.JPG,2010-07-07,topleft,train,train,train
1697,t003,images/t003/JTJxSLImUS.jpg,2010-07-28,topleft,train,train,test
4480,t004,images/t004/PxsdqRGBPt.JPG,2013-07-14,topright,train,test,train
4481,t004,images/t004/WtDkexOcPu.JPG,2013-07-14,right,train,test,val
4482,t004,images/t004/yQKABaiVBh.JPG,2013-07-14,left,train,test,train
4483,t004,images/t004/nEXKYosGOF.JPG,2013-07-14,left,train,test,test
4484,t004,images/t004/pAeOVOUzVp.JPG,2013-07-14,topleft,train,test,train
4485,t004,images/t004/kKVWweSZts.JPG,2013-07-14,top,train,test,train
4486,t004,images/t004/tTkLUOXcLP.JPG,2011-07-25,topright,train,train,test
4487,t004,images/t004/cOhVFuQqFb.JPG,2011-07-25,topleft,train,train,val
4488,t004,images/t004/onJBUEeONU.JPG,2011-07-25,topleft,train,train,train
4489,t004,images/t004/NZesflDnhD.JPG,2011-07-25,topright,train,train,train
4490,t004,images/t004/IMEfzVXYDG.JPG,2011-07-25,topright,train,train,train
4491,t004,images/t004/DJCSPZOvwy.JPG,2011-07-25,top,train,train,val
4492,t004,images/t004/dINEzwvtNh.JPG,2011-07-25,topleft,train,train,train
4493,t004,images/t004/OKKtfiJEph.JPG,2011-07-06,below,train,train,train
4494,t004,images/t004/xmmXsMoazM.JPG,2011-07-06,topleft,train,train,train
4495,t004,images/t004/bvLmAVTbCI.JPG,2011-07-06,topright,train,train,train
4496,t004,images/t004/QYXkRurBBL.JPG,2011-07-06,topleft,train,train,train
4497,t004,images/t004/SAVdswKblZ.JPG,2011-07-06,left,train,train,train
4498,t004,images/t004/wLqHmKDeHY.JPG,2011-07-06,left,train,train,train
4499,t004,images/t004/ETeBOTKqcf.JPG,2011-07-29,topright,train,val,train
4500,t004,images/t004/GOjPAjgzIa.JPG,2011-07-29,top,train,val,train
4501,t004,images/t004/DUtMXuyKUB.JPG,2011-07-29,topright,train,val,test
4502,t004,images/t004/zUgSLZzQOb.JPG,2011-07-29,below,train,val,train
4503,t004,images/t004/HvWBuYopvg.JPG,2011-07-29,topleft,train,val,train
4504,t004,images/t004/ESNBlsdTpx.JPG,2011-07-29,topleft,train,val,train
4505,t004,images/t004/WdDLexzwWs.jpg,2010-07-13,topright,train,train,val
4506,t004,images/t004/KooRzgwBTy.jpg,2010-07-13,top,train,train,train
4507,t004,images/t004/myJquAdOaf.JPG,2010-07-13,right,train,train,train
4508,t004,images/t004/kqGflQwhSL.jpg,2010-07-13,topleft,train,train,train
4509,t004,images/t004/koFAOTQqId.jpg,2010-07-13,topleft,train,train,train
4510,t004,images/t004/dLStUgZiYK.JPG,2010-07-13,topright,train,train,test
4511,t004,images/t004/jDsPpMVIQh.jpg,2010-07-13,left,train,train,test
4512,t004,images/t004/ImWKHwkZLP.jpg,2010-07-13,topright,train,train,train
4513,t004,images/t004/NnzPkEXOJI.jpg,2010-07-13,top,train,train,train
4514,t004,images/t004/qATtissSDz.jpg,2010-07-13,left,train,train,train
4516,t004,images/t004/aLyJUYVQvW.jpg,2010-07-13,topright,train,train,train
4517,t004,images/t004/zhiLHwIChB.JPG,2010-07-10,topleft,train,train,train
4518,t004,images/t004/TNMlJNQxaz.jpg,2010-07-10,topright,train,train,train
4519,t004,images/t004/YrnlzGqgoP.jpg,2010-07-10,topleft,train,train,train
4520,t004,images/t004/XdJuTkuhjR.jpg,2010-07-10,left,train,train,train
4521,t004,images/t004/VEmdnrnZaq.jpg,2010-07-10,left,train,train,train
4522,t004,images/t004/NMHHaXjPLW.JPG,2010-07-10,left,train,train,train
4523,t004,images/t004/MzIRwubLJv.jpg,2010-07-10,topright,train,train,test
4524,t004,images/t004/ABuUaTxraz.jpg,2010-07-16,right,train,train,test
4525,t004,images/t004/BaeAeoSXhY.JPG,2010-07-16,topleft,train,train,train
4526,t004,images/t004/MHGOaDZCbV.jpg,2010-07-16,right,train,train,train
4527,t004,images/t004/lViAyETNRK.jpg,2010-07-16,topleft,train,train,train
4528,t004,images/t004/ECpeXxeMsd.JPG,2010-07-16,right,train,train,train
4529,t004,images/t004/DBIYKSPapV.jpg,2010-07-16,top,train,train,train
4530,t004,images/t004/OCIYGKxbXH.jpg,2010-07-16,left,train,train,train
4531,t004,images/t004/MrzJgLCwXQ.jpg,2010-07-16,topleft,train,train,train
4532,t004,images/t004/lWaKTGEqNQ.jpg,2010-07-16,topleft,train,train,train
